Post title,Post link,Created date,Impressions,Views,Click through rate (CTR),Engagement rate,Count
"Programs will begin at George Mason University's newly installed state-of-the-art Small Modular Reactor (SMR) Control Room Simulator in Arlington this summer, ensuring Virginia’s workforce is ready to meet rising energy demands. Developed by NuScale Power and funded through the Virginia Clean Energy Innovation Bank, this cutting-edge tool - the only 12 module simulator in the nation - will train the next generation of nuclear professionals as Virginia continues to lead the nation in innovative energy solutions.",https://www.linkedin.com/feed/update/urn:li:activity:7334308030852841473,05/30/2025,8668,,5.5%,9.9%,1
"Welcome to the newest members of the Virginia Energy team! We're always looking for talented, passionate people to join us in serving the nearly 9 million people who call Virginia home. If you're ready to make an impact, explore our current career opportunities at https://lnkd.in/eQZPWUaf",https://www.linkedin.com/feed/update/urn:li:activity:7255579534144552960,10/25/2024,1160,,5.9%,9.8%,1
"Looking forward to next week's SMR & Advanced Reactor 2025 conference by Reuters Events where Director Glenn Davis will join global nuclear leaders in a discussion on streamlining regulation to accelerate advanced reactor deployment! Excited to hear insights from the impressive panel including Anna Bradford (International Atomic Energy Agency (IAEA) Rumina Velshi P.Eng, ICD.D (Canadian Nuclear Safety Commission – Commission canadienne de sûreté nucléaire), and Mike King (U.S. Nuclear Regulatory Commission) with Steve Catron (Certrec) moderating.

Learn more and register for the event at https://lnkd.in/efy76yaA 

#SMRAR #SMRAR2025 #nuclear #energy ",https://www.linkedin.com/feed/update/urn:li:activity:7325616699905327105,05/06/2025,784,,6.0%,9.8%,1
"First rides, scraped knees, and proud cheers - mining makes these moments possible. From the Blue Ridge Mountains to the coastal planes, minerals mined throughout Virginia are critical to manufacturing processes across the globe, as well as core memories here at home. Next time you watch a wobbly first ride, remember the unseen connection between our natural resources and life's precious moments.
#ifitsnotgrownitsmined #criticalminerals #mineralmining 

Learn more about Virginia's rich geology at https://lnkd.in/eZd8mzjg 
",https://www.linkedin.com/feed/update/urn:li:activity:7314346280380489729,04/05/2025,102,,4.9%,9.8%,1
"Solar panels harness the Virginia sunshine and wind turbines capture our coastal breeze, but when the sun’s not shining and the wind’s not blowing, nuclear will continue to provide the affordable power needed to keep the lights on! With Virginia's all-of-the-above energy plan, we're building a reliable, affordable, and increasingly clean energy future for the Commonwealth.

Learn more about nuclear's role in Virginia's energy landscape at https://lnkd.in/esRN-dEW",https://www.linkedin.com/feed/update/urn:li:activity:7287121848587190273,01/20/2025,337,133,7.4%,9.8%,1
"Reliable baseload power from #naturalgas (and nuclear) keeps Virginia’s communities and industries moving forward. As the #1 state in the country for business (CNBC), Virginia’s continued success depends on smart investments in the predictable, reliable, and affordable energy sources that power innovation and opportunity.

Learn more at https://lnkd.in/ezNKgaXf",https://www.linkedin.com/feed/update/urn:li:activity:7314617918149857280,04/06/2025,286,213,5.6%,9.8%,1
"Governor Glenn Youngkin joined BWX Technologies, Inc. leadership at a ribbon cutting earlier this week celebrating a new 170,000 square foot Innovation Campus in #LynchburgVA, designed to accelerate the development of next-generation #nuclear technologies. This latest milestone is another example of why Virginia continues to lead the nation in nuclear innovation, energy security, and workforce development.

#AdvancedNuclear #VirginiaEnergy #EnergyInnovation #WorkforceDevelopment #EnergySecurity 

https://lnkd.in/ePS3QkdC",https://www.linkedin.com/feed/update/urn:li:activity:7311462099266793473,03/28/2025,521,,7.5%,9.8%,1
"Virginia Energy is hiring a Compliance Specialist to help ensure safe, environmentally sound mineral mining operations. Inspect sites, investigate incidents, and provide training to protect Virginia's resources. Apply today at https://lnkd.in/e4XnfXVH ",https://www.linkedin.com/feed/update/urn:li:activity:7311824620360269824,03/29/2025,123,,8.1%,9.8%,1
"Virginia leads the nation as the #1 state for business thanks to our world-class infrastructure, business-friendly policies, skilled workforce, and reliable, affordable supply of energy. Our all-of-the-above energy approach—built on a solid foundation of nuclear and natural gas—delivers the power businesses need to thrive, attracting investment and fueling economic growth.

Learn more at https://lnkd.in/d8FJcwa7",https://www.linkedin.com/feed/update/urn:li:activity:7314285976594374656,04/05/2025,743,,5.7%,9.7%,1
"Virginia's energy future just got brighter! Simon Glossop  joins Virginia Energy as Director of the Virginia Clean Energy Innovation Bank, bringing decades of experience and a passion for innovation and sustainability. His leadership will help accelerate the deployment of innovative technologies, from fusion power to grid modernization and beyond, as Virginia Energy works to build a reliable, affordable, and increasingly clean energy future for the Commonwealth. 

Read the full release at: https://ow.ly/toAF50UI3NP",https://www.linkedin.com/feed/update/urn:li:activity:7285763120457809920,01/16/2025,2534,,6.4%,9.7%,1
"Data centers aren't just for tech giants or AI upstarts—virtually every essential service in our communities relies on this critical digital infrastructure. From public safety to healthcare, banking, farming, and beyond —data centers power it all.",https://www.linkedin.com/feed/update/urn:li:activity:7320869683430109184,04/23/2025,662,,4.8%,9.7%,1
"""Virginia's robust nuclear infrastructure, skilled workforce, and supportive policy environment make Virginia the ideal partner for advancing critical technologies that will benefit our commonwealth and country."" Glenn Davis, Virginia Energy Director

Read more at: https://ow.ly/6zhx50TJXfy",https://www.linkedin.com/feed/update/urn:li:activity:7250596526517796865,10/11/2024,2639,,6.3%,9.6%,1
"The Virginia Power Innovation Program (VPIP) is a key part of Virginia Energy's holistic approach to transforming the state's energy sector. From supporting Green Spear's  cutting-edge graphite production, to projects that enhance grid safety and reliability, VPIP is investing in innovation across the entire energy spectrum. Stay tuned for more exciting projects that will shape our reliable, affordable, and increasingly clean energy landscape!

Learn More: https://ow.ly/Z5Qb50UqMRY",https://www.linkedin.com/feed/update/urn:li:activity:7273368650122760192,12/13/2024,471,,5.3%,9.6%,1
"Minerals do more than support industry and innovation—they also light up the night sky! From copper’s brilliant blues to barium’s vibrant greens, the colors in your Fourth of July fireworks come from minerals once mined right here in Virginia.

Learn more about our mineral history: https://ow.ly/sU4m50SuVrJ
#FourthofJuly #VirginiaEnergy!
",https://www.linkedin.com/feed/update/urn:li:activity:7346871166478786561,07/04/2025,630,,4.6%,9.5%,1
"Virginia Energy geologists celebrated Earth Day at the Rappahannock Festival in Fredericksburg, engaging dozens of visitors with our interactive geological showcase. Our team inspired environmental curiosity through native specimen displays and by putting scientific tools in the hands of curious minds. This hands-on educational outreach advances our efforts to promote stewardship of Virginia's natural resources through increased public understanding and appreciation of our geological heritage.
",https://www.linkedin.com/feed/update/urn:li:activity:7324055434602979328,05/02/2025,463,,5.6%,9.5%,1
"Virginia’s energy demand is surging, with projections now showing a 6.5% annual increase over the next 10 years—far outpacing earlier expectations set in 2022. To keep the lights on and reduce reliance on electricity imports, we need smart, adaptable policies that embrace reliable power sources like natural gas and nuclear as part of an all-of-the-above strategy.

Learn more at energy.virginia.gov",https://www.linkedin.com/feed/update/urn:li:activity:7291968655045656576,02/02/2025,749,,5.7%,9.5%,1
"Do you have a passion for HR and team leadership? This is your opportunity to manage essential HR functions at Virginia Energy! If you have expertise in benefits, payroll, leave administration, and more, this Human Resource Manager role could be the perfect fit!

Learn more at https://lnkd.in/eJEcRNGi",https://www.linkedin.com/feed/update/urn:li:activity:7241914097561186304,09/17/2024,264,,6.1%,9.5%,1
